Advertiser,Committee ID,Supported Candidates,Support Method,Grand Total,Race Type
Fair Shot Texas PAC,C90021056,,,2259.95,Downballot
Youth Power PAC,,,,2198.0,House
RightCount Action,,,,2197.86,Downballot
National Education Association,C30000848,,,2160.34,Downballot
National Association for Gun Rights,,,,1902.47,Senate
American Dental PAC,,,,1900.01,House
Interfaith Alliance,,,,1899.38,Downballot
Texas Majority PAC,,,,1875.85,Governor
Texas Heritage Fund,,,,1873.08,Downballot
Democratic Governors Association (DGA),,,,1778.07,House
Chesapeake Climate Action Network,,,,1718.43,House
Vermont Trappers Association,,,,1715.25,Downballot
Progressive Maryland Liberation Alliance PAC,,,,1707.85,Downballot
Minnesota Hospital Association,,,,1673.63,Governor
Drake and O'Brien PAC,,,,1665.02,Downballot
National Association of Realtors,C70002563,,,1630.16,House
NY Republican State Committee,,,,1559.95,Downballot
New Jersey Public Charter Schools Association,,,,1462.76,Downballot
Sullivan County First PAC,C00936690,,,1456.93,Downballot
NY Republican State Committee,,,,1456.0,Governor
Spring Street Climate Fund,,,,1418.06,Governor
Minnesota Democratic Farmer Labor Party,C00025254,,,1383.62,Downballot
Alliance for Safety and Justice,,,,1323.49,Downballot
Texas Organizing Project Political Action Committee,C00756940,,,1305.65,Downballot
Patriot Mobile Action,,,,1274.89,Downballot
Citizens Alliance of Pennsylvania,C90022922,,,1270.78,Downballot
National Hydropower Association,,,,1245.51,Downballot
Foundation PAC,,,,1200.01,Downballot
Alliance for Life,,,,1119.9,Downballot
Regional Alliance for Small Business Executives,C90023334,,,1099.98,House
Students for Life Action,C90020108,,,1090.67,Downballot
California Bankers Association PAC,,,,1049.93,Downballot
Rare Access Action Project,,,,1014.02,Downballot
Physicians Committee For Responsible Medicine,,,,985.87,Downballot
California Families Committee,,,,964.99,Downballot
NC Association of Educators,,,,941.99,Downballot
Prairie Abortion Fund,,,,936.81,Downballot
Illinois Realtors Fund,,,,913.08,Downballot
American Energy Action,,,,862.78,Senate
LA Right to Life Education Committee,,,,852.5,Downballot
Pharmaceutical Care Management Association,,,,821.7,Downballot
32BJ Labor Industry Cooperation Fund,,,,815.08,Downballot
World Wildlife Fund,,,,800.31,Downballot
Texas Truth PAC,C00940460,,,795.13,Downballot
NAACP Legal Defense Fund,,,,774.62,Downballot
DMFI PAC,C00710848,,,712.95,Downballot
Louisiana Hospital Association,,,,709.03,Downballot
Youth Power PAC,,,,696.99,Downballot
Democratic Attorney's General Association,,,,692.02,Downballot
TX Democratic Party,C00099267,,,650.37,Senate
340B Health Pac,,,,632.39,Downballot
Michigan Education Association,C70001342,,,619.99,Downballot
Michigan Hospital Association,,,,619.99,Downballot
Berkeley County Republican Party,,,,610.05,Downballot
Alliance for a Better MN,,,,607.04,Downballot
Unity First PAC,C00876094,,,600.18,Governor
IL Health and Hospital Association,,,,593.11,Downballot
Children First Action Fund,,,,571.41,Downballot
Climate Action Campaign,,,,561.96,Downballot
Tea Party Patriots,,,,556.22,Downballot
Common Sense Leadership Fund,,,,525.0,Downballot
Common Defense Action Fund,C00620021,,,524.09,Senate
Alliance for Consumers Action Fund,,,,495.39,Downballot
PA Senate Republican Campaign Committee,,,,459.97,Downballot
Michigan Infrastructure & Transportation Association,,,,392.18,Downballot
Orange County Democratic Committee,,,,390.04,Downballot
MS Republican Party,,,,378.0,Downballot
Environmental Defense Action Fund,C90014895,,,359.16,House
DMFI PAC,C00710848,,,332.39,House
Minnesota Hospital Association,,,,328.98,Downballot
Anoka-Hennepin Parents Alliance,,,,322.9,Downballot
Convention of States Action,,,,308.4,Downballot
Nevada County Republican Party,C00556605,,,300.02,Governor
Realtors Political Advocacy Committee,,,,290.01,Downballot
National Alliance of New Americans and the Georgia Latino Community Fund,,,,290.01,Downballot
Main Street Alliance,,,,285.63,House
Fair Fight Action,,,,280.0,Downballot
Common Defense Action Fund,C00620021,,,279.72,House
Wastewater Action Alliance,,,,278.19,Downballot
South Carolina Republican Party,C00034033,,,265.02,Downballot
Florida Health Care Association,,,,250.04,Downballot
Protect & Serve PAC,C00716704,,,245.7,Senate
Tea Party Patriots,,,,237.86,Senate
Colorado Center Party,,,,230.02,Downballot
Chronic Care Policy Alliance,,,,229.47,Downballot
Action 4 Liberty,,,,226.63,Downballot
Republican Party of Orange County,C00158402,,,220.01,Downballot
DSEA Advocacy Fund for Children and Public Education,,,,220.01,Downballot
Louisville Democratic Party,,,,217.0,Downballot
Deputy Sheriff's Association of Bexar County,,,,205.03,Downballot
Pennsylvania State Education Association,C70003314,,,200.06,Downballot
Maryland House Democratic Caucus Committee,,,,172.48,Downballot
House Republican Campaign Committee,C00487678,,,167.02,Downballot
New Hampshire Republican State Committee,C00136457,,,166.53,Governor
Illinois Education Association,,,,164.99,Downballot
2nd Congressional District Republican Party,,,,160.02,Downballot
Giffords PAC,C00540443,,,142.03,Downballot
Richland County Republican Party,,,,129.99,Downballot
Committee To Unleash Prosperity,,,,121.94,Downballot
National HOPE Alliance,,,,118.95,House
Wastewater Action Alliance,,,,115.99,Senate
MA Republican Party,C00003111,,,115.73,Downballot
Nassau County Democratic Committee,,,,109.97,Downballot
Sustainable Wildfire Fund California,,,,101.79,Downballot
Southern Alliance for Clean Energy,,,,100.03,Downballot
Alliance for Retired Americans Political Action Fund,C00436188,,,100.03,Downballot
Term Limits Super PAC,,,,94.99,Downballot
Committee to Protect Florida,,,,90.02,Downballot
National Landowners Federation Action Fund,,,,89.95,Downballot
Progressive Maryland Liberation Alliance PAC,,,,80.01,House
Republican Party of Texas,C00143743,,,70.0,Downballot
New Hampshire Republican State Committee,C00136457,,,70.0,Downballot
City Of Manassas Republican Party,,,,70.0,Downballot
Fayette Alliance,,,,67.11,Downballot
MAHA Alliance,C00888172,,,64.96,Downballot
Southern California Fund,C00361410,,,59.99,House
Latino Victory Fund,C00562777,,,50.12,Senate
Animal Legal Defense Fund,,,,50.05,Downballot
Harris County Democratic Party,C00161067,,,49.98,Downballot
Michigan Climate Action Network,,,,47.16,Downballot
Main Street Alliance,,,,45.01,Downballot
Air Line Pilots Association,C00035451,,,44.94,Downballot
American Prosperity Alliance,,,,33.6,Downballot
Fresno Teachers Association PAC,,,,27.88,Downballot
The Squad Victory Fund,C00750166,,,20.02,Downballot
Grayson County Republican Party,,,,10.01,Downballot
Freedom and Opportunity Alliance,,,,8.76,Downballot
Restoration of America PAC,C00571588,,,7.1,Senate
Moms Protecting Children PAC,,,,7.0,Downballot
Illinois Soybean Association,,,,5.67,Downballot
Mountain State Safety Action,,,,0.03,Downballot
Homeland PAC,C00934224,,,0.0,House
WBJ Leadership Committee/Jones,,Jones,Name inference,0.0,Governor
