Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00934414","NP POWER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00934414","POU, NELIDA","0","31-MAR-26","0","0"
"C00417865","TRUEDEM LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00417865","KAPTUR, MARCY HON. M.C.","268548.59","31-MAR-26","64449.2","71700"
"C00894139","UPLIFT PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00894139","MCDONALD RIVET, KRISTEN","152779.01","31-MAR-26","40977.7","191256.7"
"C00895516","LOUISIANA LEADERSHIP","http://docquery.fec.gov/cgi-bin/fecimg/?C00895516","FIELDS, CLEO","2409.6","31-MAR-26","14790.4","17200"
"C00632323","DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00632323","","143426.83","31-MAR-26","488662.5","485775.9"
"C00391797","DIRIGO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00391797","","1057164.66","31-MAR-26","410898.2","965907"
"C00924753","LIVE FREE OR DIE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00924753","SUNUNU, JOHN E","166824.75","31-MAR-26","5319","172143.7"
"C00912451","SPACESHIP EARTH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00912451","WHITESIDES, GEORGE","11760.5","31-MAR-26","10739.5","22500"
"C00571000","TRUE NORTH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00571000","SULLIVAN, DAN","372472.9","31-MAR-26","526634.4","826851.7"
"C00894600","603 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00894600","GOODLANDER, MAGGIE","72935.92","31-MAR-26","28818.6","99254.6"
"C00387464","ALAMO PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00387464","CORNYN, JOHN","383772.59","31-MAR-26","712052.6","737553.9"
"C00331694","AMERICA WORKS FEDERAL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00331694","BROWN, SHERROD","29158.99","31-MAR-26","381658.7","350901.8"
"C00467431","THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00467431","","1065107.47","31-MAR-26","1318193.4","1616226.9"
"C00822833","DEFENDING THE AMERICAN DREAM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00822833","","79077.51","31-MAR-26","266954.7","242111.1"
"C00932236","HOOSIER AMERICA FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00932236","KELLEY, MOSES","","","",""
"C00689208","RVFPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00689208","","48407.72","31-MAR-26","446586.3","460551.7"
"C00697326","ON WISCONSIN PAC, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?C00697326","","64507.72","31-MAR-26","402178.2","336357.8"
"C00919795","605 LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00919795","JACKLEY, MARTY","8054.09","31-MAR-26","1300.8","9354.8"
"C00837641","HONEST LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00837641","CURRY, KELLEN","11801.54","31-MAR-26","250","0"
"C00930461","WRANGLER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00930461","MOORE, COLTON","2970","31-MAR-26","15030","18000"
"C00931006","BALANCE AND ACCOUNTABILITY PAC (BAC PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00931006","SNEED, ANDREW RANKIN GUYTON","1089.97","31-MAR-26","514","1604"
"C00576249","NORCAL WATER JOBS LIBERTY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00576249","","2325.9","31-MAR-26","55531.4","39020"
"C00906248","FIGHTING FOR DEMOCRACY","http://docquery.fec.gov/cgi-bin/fecimg/?C00906248","VINCENT, JOHN GREGORY","2787.68","31-MAR-26","6437.3","9225"
"C00921015","OLA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921015","","16185.34","31-MAR-26","7211.5","23396.8"
"C00361410","SOUTHERN CALIFORNIA FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00361410","SHERMAN, BRAD","182842.9","31-MAR-26","166438.3","178078.1"
"C00930180","BLANCO VICTORY COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00930180","BLANCO, JAIMY","0","31-MAR-26","0","0"
"C00930016","KENTUCKY FIRST FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00930016","GALLREIN, ED","0","31-MAR-26","0","0"
"C00828541","NEVER SURRENDER, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?C00828541","","50593016.07","31-MAR-26","28369411.1","51589906.6"
"C00894204","PROSPERITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00894204","SUBRAMANYAM, SUHAS","1992.58","31-MAR-26","13007.4","15000"
"C00513523","TN4UPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00513523","","23256.84","31-MAR-26","5210","27500"
"C00553883","BUILDING AMERICAN CONSERVATISM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00553883","WEBER, RANDY","3520.43","31-MAR-26","54382.8","37627.9"
"C00531590","PATRIOTS IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?C00531590","WILLIAMS, ROGER","262702.12","31-MAR-26","307194.4","379551.9"
"C00786368","31 DAYS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00786368","ELLZEY, JOHN KEVIN SR","129572.31","31-MAR-26","606504.3","725190.4"
"C00758722","PATRIOTS ALWAYS TRIUMPH","http://docquery.fec.gov/cgi-bin/fecimg/?C00758722","","111269.88","31-MAR-26","42394.5","110270.9"
"C00929075","BOLDLY UPHOLDING CONSTITUTIONAL KNOWLEDGE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00929075","BUCK, CARRIE","6221.61","31-MAR-26","4278.4","10500"
"C00484667","ICE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00484667","PAULSEN, ERIK MR.","23744.66","31-MAR-26","0","0"
"C00678813","CONSERVATIVES HARVESTING SUCCESS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00678813","HYDE-SMITH, CINDY","190103.05","31-MAR-26","157578.4","282929.4"
"C00928812","FORGE FORWARD","http://docquery.fec.gov/cgi-bin/fecimg/?C00928812","BEECHER, ZACH","0","17-FEB-26","0","0"
